,tissueID,sampleDescription,vesselSerialNumber,fishNumber,repID,water,dateCollected,year,lattitude_decDeg,longitude_decDeg,site,siteDepthCode,stationDepth_m,depthCollect_m,sampleDepthMin_m,sampleDepthMax_m,waterLayerSampled,DCLdepth,thermoclineDepth_m,epilimnionDepth_m,hypolimnionDepth_m,collectionGear,collectionGearMesh_um,numberIndividualsCombined,individualSize_mm,individualSizeMax_mm,individualSizeMin_mm,tissueType,preservationMethod,lipidExtraction,acidifiedUnacidified,wellID,laboratory,equipment,sampleAmount_mg,areaN,percentN,areaN28,amplitudeN28,delta15N,TEF_N,TEF_C_SD,areaC,percentC,areaC45,amplitudeC45,delta13C,TEF_C,TEF_C_SD.1,H2amp,percentH,del2H,sd_delta2H,analysisFacility,equipmentUsed,analysisDate,analysisTime,Flag,Comment,Comment2,Group
224,082109 CL2,Periphyton (Cladophora),,,,Lake Ontario,8/21/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,3.084,NA,3.9,NA,4415,5.088,3.4,0.74,NA,37.6,NA,"6,178",-12.302,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
226,082109 CL5,Periphyton (Cladophora),,,,Lake Ontario,8/21/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,3.025,NA,3.2,NA,3464,5.143,3.4,0.74,NA,31.2,NA,"5,161",-11.961,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
228,082109 CL6,Periphyton (Cladophora),,,,Lake Ontario,8/21/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,2.942,NA,3.2,NA,3379,5.193,3.4,0.74,NA,30.6,NA,"4,969",-11.836,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
230,062409 CL6,Periphyton (Cladophora),,,,Lake Ontario,6/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,2.989,NA,3.4,NA,4110,5.207,3.4,0.74,NA,42.5,NA,"6,652",-14.243,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
232,062409 CL3,Periphyton (Cladophora),,,,Lake Ontario,6/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,3.035,NA,3.3,NA,4147,5.27,3.4,0.74,NA,41.9,NA,"6,712",-14.622,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
234,082109 CL4,Periphyton (Cladophora),,,,Lake Ontario,8/21/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,2.911,NA,3.2,NA,3332,5.401,3.4,0.74,NA,31.4,NA,"4,985",-11.79,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
236,082109 CL3,Periphyton (Cladophora),,,,Lake Ontario,8/21/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,3.068,NA,3.4,NA,3798,5.438,3.4,0.74,NA,33.7,NA,"5,602",-11.728,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
238,062409 CL5,Periphyton (Cladophora),,,,Lake Ontario,6/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,3,NA,3.4,NA,4205,5.438,3.4,0.74,NA,43,NA,"6,766",-14.331,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
240,082109 CL1,Periphyton (Cladophora),,,,Lake Ontario,8/21/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,2.913,NA,3.8,NA,3966,5.439,3.4,0.74,NA,36.3,NA,"5,665",-12.096,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
242,062409 CL1,Periphyton (Cladophora),,,,Lake Ontario,6/24/2009,2009,NA,NA,#N/A,,NA,,,,,NA,NA,0,0,,,,NA,NA,NA,scraped_dried,,no,Unacidified,,Cornell,Thermo Delta V IRMS to NC2500,3.009,NA,3.5,NA,4322,5.73,3.4,0.74,NA,42.6,NA,"6,761",-14.659,0.4,0.63,NA,NA,NA,NA,NA,,,,NA,frozen_noEthanolDried,,Baseline
